Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,TotalMnt,TotalCampaignsAcc,In_relationship
84835.0,189,104,379,111,189,218,1190,1,0
57091.0,464,5,64,7,0,37,577,2,0
67267.0,134,11,59,15,2,30,251,0,1
32474.0,10,0,1,0,0,0,11,0,1
21474.0,6,16,24,11,0,34,91,2,0
71691.0,336,130,411,240,32,43,1192,1,0
63564.0,769,80,252,15,34,65,1215,2,1
44931.0,78,0,11,0,0,7,96,0,1
65324.0,384,0,102,21,32,5,544,0,1
65324.0,384,0,102,21,32,5,544,0,1
81044.0,450,26,535,73,98,26,1208,0,1
62499.0,140,4,61,0,13,4,222,0,1
67786.0,431,82,441,80,20,102,1156,1,0
26872.0,3,10,8,3,16,32,72,0,1
4428.0,16,4,12,2,4,321,359,0,1
54809.0,63,6,57,13,13,22,174,0,1
54809.0,63,6,57,13,13,22,174,1,1
32173.0,18,0,2,0,0,2,22,0,0
47823.0,53,1,5,2,1,10,72,0,0
30523.0,5,0,3,0,0,5,13,0,0
36634.0,213,9,76,4,3,30,335,0,1
43456.0,275,11,68,25,7,7,393,0,0
40662.0,40,2,23,0,4,23,92,0,1
49544.0,308,0,73,0,0,23,404,0,1
57731.0,266,21,300,65,8,44,704,0,0
33168.0,80,1,37,0,1,3,122,0,0
54450.0,454,0,171,8,19,32,684,0,1
54450.0,454,0,171,8,19,32,684,0,1
35340.0,27,0,12,0,1,5,45,0,0
73170.0,184,174,256,50,30,32,726,0,0
65808.0,155,7,80,13,7,10,272,0,0
79529.0,423,42,706,73,197,197,1638,0,1
34578.0,7,0,1,0,0,0,8,0,1
46374.0,408,0,21,0,0,17,446,3,1
18351.0,1,12,9,0,14,7,43,0,1
95169.0,1285,21,449,106,20,20,1901,3,0
65370.0,71,22,112,138,89,29,461,0,1
39228.0,7,1,6,0,3,3,20,0,0
84865.0,1248,16,349,43,16,16,1688,5,0
61314.0,378,0,189,97,172,172,1008,0,1
21359.0,12,2,17,6,1,10,48,1,0
66465.0,1200,0,204,38,29,14,1485,1,1
81698.0,709,45,115,30,160,45,1104,2,0
39146.0,94,1,33,13,12,12,165,0,0
25959.0,4,2,12,7,5,26,56,1,0
64260.0,539,169,816,20,0,30,1574,1,1
32300.0,13,3,6,6,5,6,39,0,1
74806.0,670,9,249,0,28,9,965,0,1
72967.0,158,35,179,0,0,125,497,2,0
48904.0,283,10,38,0,13,27,371,0,0
14796.0,13,3,8,7,4,16,51,1,1
66991.0,496,36,460,189,60,12,1253,0,1
52195.0,12,0,4,0,0,1,17,0,0
90369.0,292,51,981,224,23,17,1588,1,1
18393.0,7,10,13,16,0,4,50,0,1
47139.0,46,0,12,0,2,23,83,1,0
38576.0,34,0,7,0,0,0,41,0,1
61905.0,167,0,43,6,2,13,231,0,1
83715.0,318,8,407,150,35,8,926,0,1
60597.0,522,0,257,32,16,66,893,2,1
6560.0,67,11,26,4,3,262,373,0,0
48330.0,28,0,4,0,0,0,32,0,1
38236.0,58,0,18,2,0,10,88,0,0
22701.0,2,4,9,0,4,5,24,0,1
53367.0,229,7,140,10,3,11,400,1,0
34728.0,14,0,16,0,0,6,36,1,1
63915.0,622,7,115,30,0,15,789,0,1
82504.0,362,50,431,134,35,54,1066,0,1
38578.0,38,4,22,3,3,3,73,1,0
38578.0,38,4,22,3,3,3,73,0,0
79174.0,1074,37,518,193,92,129,2043,3,1
81975.0,983,76,184,180,138,27,1588,1,0
43263.0,262,6,61,0,10,102,441,0,1
27242.0,3,17,26,20,1,39,106,1,0
76445.0,739,107,309,140,80,35,1410,0,1
75276.0,610,105,125,137,42,21,1040,0,1
34213.0,50,4,28,6,3,26,117,1,0
72335.0,1285,105,653,28,21,0,2092,1,1
79143.0,650,37,780,27,167,32,1693,0,1
27469.0,9,1,2,3,2,0,17,0,1
68695.0,458,81,356,106,50,40,1091,0,1
68695.0,458,81,356,106,50,40,1091,0,1
50388.0,292,6,37,0,3,34,372,3,0
77622.0,520,7,154,19,0,14,714,0,1
46102.0,14,0,1,0,0,1,16,0,0
31859.0,3,4,7,15,8,11,48,0,0
23830.0,1,8,6,4,8,16,43,0,0
24639.0,20,3,16,0,4,1,44,0,1
71604.0,345,53,528,98,75,97,1196,2,1
27255.0,22,1,11,0,1,2,37,0,1
55375.0,42,11,57,10,28,14,162,0,1
77037.0,463,96,333,168,53,10,1123,0,1
24163.0,4,1,7,2,1,2,17,0,0
69476.0,260,86,559,63,9,67,1044,0,1
72063.0,180,32,348,76,32,90,758,0,1
58646.0,62,1,44,6,5,22,140,0,1
58646.0,62,1,44,6,5,22,140,0,1
47570.0,67,1,20,0,2,31,121,1,0
80011.0,421,76,536,82,178,102,1395,0,1
54998.0,154,22,202,39,30,8,455,1,0
60200.0,502,19,132,0,6,26,685,0,0
63211.0,145,193,459,205,26,145,1173,1,1
48432.0,322,3,50,4,3,42,424,1,0
48432.0,322,3,50,4,3,42,424,0,0
48432.0,322,3,50,4,3,42,424,1,0
62845.0,1099,0,45,0,0,34,1178,1,1
62845.0,1099,0,45,0,0,34,1178,2,1
65220.0,890,63,292,0,25,12,1282,1,1
74214.0,863,83,547,86,99,33,1711,0,1
96547.0,448,21,125,52,101,62,809,4,1
53863.0,399,4,30,6,4,30,473,1,1
50447.0,85,7,24,2,3,27,148,0,1
37716.0,97,1,41,6,2,41,188,0,1
45203.0,35,3,67,10,8,24,147,1,1
37368.0,3,2,11,2,2,10,30,1,1
67225.0,315,35,322,46,7,143,868,0,1
65104.0,738,0,232,13,20,50,1053,1,1
65104.0,738,0,232,13,20,50,1053,0,1
81698.0,179,28,520,111,123,47,1008,1,1
70566.0,381,28,215,84,28,21,757,0,0
69096.0,247,49,159,7,82,109,653,0,1
71434.0,711,36,217,172,96,168,1400,2,1
33039.0,30,8,12,8,8,12,78,0,1
33039.0,30,8,12,8,8,12,78,0,1
46610.0,288,10,30,4,10,125,467,0,1
49967.0,212,6,69,4,12,3,306,0,0
53359.0,173,4,30,3,6,41,257,0,1
49505.0,604,0,100,19,0,28,751,0,1
68657.0,482,34,471,119,68,22,1196,0,1
72071.0,531,69,300,150,138,150,1338,0,0
72071.0,531,69,300,150,138,150,1338,0,0
59235.0,448,40,469,80,0,91,1128,0,0
21994.0,9,0,6,3,1,3,22,0,1
21994.0,9,0,6,3,1,3,22,0,1
